['1.21951219512195', '0.91743119266055', '1.14942528735632', '0.943396226415094', '0.769230769230769', '0.344827586206897', '0.217864923747277']
['1.16279069767442', '1.05263157894737', '1.38888888888889', '0.826446280991736', '0.704225352112676', '0.367647058823529', '0.198807157057654']
['0.970873786407767', '1.03092783505155', '1.2987012987013', '1.17647058823529', '1.01010101010101', '3.125', '4.76190476190476']
['0.91743119266055', '0.884955752212389', '1.35135135135135', '0.943396226415094', '0.840336134453782', '1.33333333333333', '14.2857142857143']
['0.934579439252336', '1.26582278481013', '0.980392156862745', '1.05263157894737', '1.19047619047619', '8.33333333333333', '5.55555555555556']
['1.21951219512195', '1.01010101010101', '0.892857142857143', '0.735294117647059', '0.609756097560976', '0.234741784037559', '0.172711571675302']
['1.13636363636364', '0.884955752212389', '0.943396226415094', '0.925925925925926', '0.925925925925926', '0.259067357512953', '0.1194743130227']
['1.36986301369863', '1.16279069767442', '1.38888888888889', '1.28205128205128', '1.0752688172043', '0.413223140495868', '0.221238938053097']
['1.06382978723404', '0.900900900900901', '0.934579439252336', '0.869565217391304', '0.675675675675676', '0.425531914893617', '0.210970464135021']
['1.25', '1.17647058823529', '1.36986301369863', '0.925925925925926', '0.78740157480315', '0.26246719160105', '0.166389351081531']
['1.13636363636364', '0.961538461538461', '1.04166666666667', '0.78125', '0.934579439252336', '0.265957446808511', '0.137174211248285']
['1.08695652173913', '1.06382978723404', '1.0752688172043', '0.884955752212389', '0.925925925925926', '0.515463917525773', '0.205338809034908']
['1.16279069767442', '0.970873786407767', '1.06382978723404', '1.05263157894737', '0.806451612903226', '0.354609929078014', '0.199600798403194']
['0.75187969924812', '0.680272108843537', '0.869565217391304', '1.16279069767442', '1.38888888888889', '4.76190476190476', '2.7027027027027']
['0.78740157480315', '0.769230769230769', '0.819672131147541', '0.54054054054054', '0.549450549450549', '0.142450142450142', '0.234192037470726']
['0.884955752212389', '0.72463768115942', '0.704225352112676', '0.833333333333333', '0.869565217391304', '1.42857142857143', '5.26315789473684']
['0.833333333333333', '0.91743119266055', '0.87719298245614', '1.51515151515152', '1.21951219512195', '5.55555555555556', '6.66666666666667']
['1.31578947368421', '0.980392156862745', '0.970873786407767', '0.961538461538461', '0.806451612903226', '0.595238095238095', '0.21505376344086']
['0.806451612903226', '1.61290322580645', '0.833333333333333', '1.04166666666667', '0.87719298245614', '4.54545454545455', '3.2258064516129']
['0.925925925925926', '0.819672131147541', '1.63934426229508', '1.08695652173913', '0.909090909090909', '2.4390243902439', '10']
['1.25', '1.38888888888889', '1.69491525423729', '0.8', '0.75187969924812', '0.398406374501992', '0.204498977505112']
['1.13636363636364', '1.20481927710843', '1.16279069767442', '0.526315789473684', '0.476190476190476', '0.171232876712329', '0.119617224880383']
['1.23456790123457', '1.01010101010101', '1.36986301369863', '0.900900900900901', '0.854700854700855', '0.389105058365759', '0.179533213644524']
['1.16279069767442', '1.0989010989011', '0.869565217391304', '0.943396226415094', '1.02040816326531', '4.34782608695652', '2.94117647058824']
['1.04166666666667', '1.02040816326531', '1.08695652173913', '0.588235294117647', '0.961538461538461', '0.359712230215827', '0.147492625368732']
['1.0989010989011', '0.970873786407767', '1.49253731343284', '1.19047619047619', '0.854700854700855', '0.4149377593361', '0.249376558603491']
['0.91743119266055', '1.08695652173913', '1.20481927710843', '0.925925925925926', '0.714285714285714', '3.125', '6.66666666666667']
['1.0752688172043', '0.980392156862745', '1.16279069767442', '1.53846153846154', '1.2987012987013', '8.33333333333333', '2.85714285714286']
['1.04166666666667', '1.40845070422535', '2.04081632653061', '1.2987012987013', '1.36986301369863', '0.574712643678161', '0.303951367781155']
['0.813008130081301', '0.826446280991736', '0.943396226415094', '1.04166666666667', '0.892857142857143', '2.04081632653061', '3.84615384615385']
['0.65359477124183', '0.632911392405063', '1', '1.13636363636364', '0.826446280991736', '2.38095238095238', '5']
['1.13636363636364', '1.16279069767442', '1.14942528735632', '1.06382978723404', '1.08695652173913', '0.333333333333333', '0.168634064080944']
['1.03092783505155', '1.01010101010101', '1.08695652173913', '1.02040816326531', '0.813008130081301', '0.342465753424658', '0.165562913907285']
['0.87719298245614', '0.793650793650794', '1.06382978723404', '1.88679245283019', '2.12765957446809', '10', '6.25']
['1.0989010989011', '1.06382978723404', '1.17647058823529', '1.08695652173913', '1.17647058823529', '0.543478260869565', '0.280898876404494']
['1.25', '1.38888888888889', '1.23456790123457', '0.862068965517241', '0.628930817610063', '0.290697674418605', '0.169779286926995']
['1.14942528735632', '1.25', '1.38888888888889', '0.943396226415094', '0.735294117647059', '0.285714285714286', '0.145985401459854']
['0.925925925925926', '1.51515151515152', '1.44927536231884', '1.81818181818182', '1.75438596491228', '7.14285714285714', '3.7037037037037']
['1.33333333333333', '1.28205128205128', '1.2987012987013', '1.05263157894737', '0.943396226415094', '0.396825396825397', '0.223214285714286']
['1.06382978723404', '1.26582278481013', '1.5625', '0.952380952380952', '1.05263157894737', '0.432900432900433', '0.228310502283105']
['0.854700854700855', '0.980392156862745', '1.19047619047619', '0.892857142857143', '0.91743119266055', '1.38888888888889', '14.2857142857143']
['0.980392156862745', '0.806451612903226', '1.02040816326531', '0.826446280991736', '0.684931506849315', '0.253807106598985', '0.158730158730159']
['1.16279069767442', '1.28205128205128', '1.44927536231884', '0.636942675159236', '0.628930817610063', '0.189035916824197', '0.140845070422535']
['1.05263157894737', '0.840336134453782', '1.04166666666667', '0.847457627118644', '0.680272108843537', '0.3003003003003', '0.157232704402516']
['1.06382978723404', '1.04166666666667', '1.11111111111111', '0.840336134453782', '1.01010101010101', '0.636942675159236', '0.216919739696312']
['0.689655172413793', '0.813008130081301', '1.23456790123457', '0.78740157480315', '0.641025641025641', '3.03030303030303', '4.34782608695652']
['0.671140939597315', '0.934579439252336', '1.35135135135135', '0.925925925925926', '0.970873786407767', '5', '7.69230769230769']
['1.16279069767442', '1.16279069767442', '1.31578947368421', '1.01010101010101', '0.980392156862745', '0.334448160535117', '0.178571428571429']
['0.746268656716418', '0.740740740740741', '0.826446280991736', '0.862068965517241', '0.72463768115942', '3.44827586206897', '2.5']
['0.91743119266055', '1.14942528735632', '1.96078431372549', '2.94117647058824', '2.56410256410256', '20', '11.1111111111111']
['0.75187969924812', '0.833333333333333', '0.869565217391304', '0.813008130081301', '0.925925925925926', '5', '5']
['1.26582278481013', '0.970873786407767', '1.26582278481013', '1.25', '0.925925925925926', '0.389105058365759', '0.181818181818182']
['1.16279069767442', '1.0752688172043', '1.25', '0.75187969924812', '0.561797752808989', '0.396825396825397', '0.165289256198347']
['1.13636363636364', '1.17647058823529', '1.14942528735632', '1.35135135135135', '1.63934426229508', '12.5', '4.76190476190476']
['0.709219858156028', '0.735294117647059', '0.884955752212389', '0.884955752212389', '0.714285714285714', '2.32558139534884', '3.57142857142857']
['0.980392156862745', '0.847457627118644', '1.03092783505155', '1.02040816326531', '0.99009900990099', '4.54545454545455', '2.56410256410256']
['0.961538461538461', '0.671140939597315', '1.01010101010101', '0.909090909090909', '0.892857142857143', '2.5', '4.54545454545455']
['0.952380952380952', '0.8', '1.42857142857143', '1.75438596491228', '1.88679245283019', '8.33333333333333', '4.76190476190476']
['0.961538461538461', '0.408163265306122', '0.214592274678112', '0.22271714922049', '0.212765957446809', '2.38095238095238', '2.08333333333333']
['0.50761421319797', '1.04166666666667', '1.33333333333333', '1.13636363636364', '0.87719298245614', '5.55555555555556', '2.94117647058824']
['0.847457627118644', '0.847457627118644', '0.934579439252336', '1.06382978723404', '1.5625', '3.44827586206897', '5']
['1', '1.21951219512195', '0.862068965517241', '0.50251256281407', '0.862068965517241', '0.218818380743982', '0.189753320683112']
['1.03092783505155', '0.775193798449612', '0.909090909090909', '0.763358778625954', '0.854700854700855', '0.606060606060606', '0.191204588910134']
['0.934579439252336', '0.970873786407767', '1.23456790123457', '0.869565217391304', '0.943396226415094', '0.465116279069767', '0.14903129657228']
['1.08695652173913', '0.980392156862745', '0.8', '0.709219858156028', '0.757575757575758', '0.218340611353712', '0.144508670520231']
['0.806451612903226', '0.970873786407767', '1.63934426229508', '0.813008130081301', '0.833333333333333', '1.69491525423729', '9.09090909090909']
['1.0989010989011', '0.980392156862745', '1.23456790123457', '0.862068965517241', '0.869565217391304', '0.448430493273543', '0.143884892086331']
['1.0989010989011', '1.06382978723404', '1.05263157894737', '1.0752688172043', '1.20481927710843', '5', '4.16666666666667']
['1.14942528735632', '0.87719298245614', '1.08695652173913', '0.636942675159236', '0.53475935828877', '0.307692307692308', '0.162337662337662']
['1', '0.961538461538461', '1.03092783505155', '0.854700854700855', '0.943396226415094', '0.558659217877095', '0.215982721382289']
['0.819672131147541', '1.02040816326531', '1.0989010989011', '0.892857142857143', '1.23456790123457', '14.2857142857143', '10']
['0.8', '0.847457627118644', '0.925925925925926', '0.900900900900901', '1.02040816326531', '1.69491525423729', '5']
['0.854700854700855', '0.980392156862745', '1.28205128205128', '2.38095238095238', '2.85714285714286', '14.2857142857143', '5.88235294117647']
['1.01010101010101', '1.04166666666667', '1.28205128205128', '1.5625', '1.40845070422535', '6.66666666666667', '3.2258064516129']
['1.16279069767442', '0.91743119266055', '1.19047619047619', '0.813008130081301', '0.684931506849315', '0.268096514745308', '0.178890876565295']
['1.58730158730159', '1.25', '1.28205128205128', '1.03092783505155', '1.08695652173913', '0.452488687782805', '0.210526315789474']
['1.13636363636364', '1.36986301369863', '1.5625', '1.63934426229508', '2.32558139534884', '6.25', '9.09090909090909']
['0.628930817610063', '0.87719298245614', '1', '0.87719298245614', '0.813008130081301', '2.77777777777778', '12.5']
['0.531914893617021', '1.20481927710843', '0.925925925925926', '0.613496932515337', '0.684931506849315', '3.57142857142857', '4.54545454545455']
['0.869565217391304', '0.847457627118644', '0.934579439252336', '1.05263157894737', '0.934579439252336', '4.54545454545455', '3.125']
['0.65359477124183', '0.78125', '0.854700854700855', '0.943396226415094', '0.8', '3.84615384615385', '1.49253731343284']
['0.75187969924812', '0.75187969924812', '0.869565217391304', '0.78740157480315', '0.819672131147541', '4.54545454545455', '2']
['0.813008130081301', '0.833333333333333', '1.03092783505155', '0.970873786407767', '0.763358778625954', '4', '2.22222222222222']
['1.20481927710843', '0.943396226415094', '1.31578947368421', '0.892857142857143', '0.662251655629139', '0.285714285714286', '0.187265917602996']
['1.33333333333333', '1.01010101010101', '1.0989010989011', '0.91743119266055', '1.01010101010101', '0.359712230215827', '0.212765957446809']
['0.793650793650794', '1.0752688172043', '1.63934426229508', '0.806451612903226', '1.06382978723404', '3.2258064516129', '4.54545454545455']
['1.02040816326531', '0.892857142857143', '0.892857142857143', '0.884955752212389', '0.99009900990099', '4.16666666666667', '2.56410256410256']
['0.952380952380952', '0.980392156862745', '1.21951219512195', '1.13636363636364', '1.06382978723404', '5.88235294117647', '3.2258064516129']
['1.05263157894737', '0.980392156862745', '1.0752688172043', '1', '1', '0.892857142857143', '0.202839756592292']
['1.0752688172043', '1.04166666666667', '0.909090909090909', '0.75187969924812', '0.680272108843537', '0.346020761245675', '0.158730158730159']
['0.806451612903226', '1.08695652173913', '1.35135135135135', '1', '0.952380952380952', '2.5', '6.25']
['0.793650793650794', '0.980392156862745', '1.19047619047619', '0.813008130081301', '0.99009900990099', '2.77777777777778', '4.34782608695652']
['1.0989010989011', '1.04166666666667', '1.20481927710843', '0.840336134453782', '0.813008130081301', '0.309597523219814', '0.212765957446809']
['1.12359550561798', '1.0752688172043', '1.25', '1.21951219512195', '1.92307692307692', '3.2258064516129', '5.26315789473684']
['0.571428571428571', '0.72992700729927', '1.14942528735632', '0.970873786407767', '0.87719298245614', '2.12765957446809', '4.34782608695652']
['0.87719298245614', '0.952380952380952', '1.38888888888889', '1.20481927710843', '1.0989010989011', '5', '4.16666666666667']
['1.05263157894737', '1', '1.2987012987013', '1.72413793103448', '1.92307692307692', '11.1111111111111', '7.14285714285714']
['1.14942528735632', '1.02040816326531', '1.17647058823529', '0.641025641025641', '0.769230769230769', '0.233644859813084', '0.128205128205128']
['1.11111111111111', '0.99009900990099', '1.26582278481013', '0.657894736842105', '0.641025641025641', '0.28328611898017', '0.116959064327485']
['1', '0.980392156862745', '1.35135135135135', '1.03092783505155', '1.5625', '1.58730158730159', '5.55555555555556']
